     Town                    Count of Schools
283  Sharon                                 5
284  Agawam                                 6
285  Hanover                                6
286  Winchendon                             6
287  Longmeadow                             6
288  Dracut                                 6
289  Hopkinton                              6
290  Bellingham                             6
291  Easthampton                            6
292  Northborough                           6
293  Burlington                             6
294  Milton                                 6
295  Foxborough                             6
296  Chelmsford                             6
297  Randolph                               6
298  Belmont                                6
299  Milford                                6
300  Swansea                                6
301  South Boston                           6
302  Hingham                                6
303  West Roxbury                           6
304  Scituate                               6
305  Sudbury                                6
306  Hyannis                                6
307  Brighton                               7
308  Walpole                                7
309  Dedham                                 7
310  Danvers                                7
311  Tewksbury                              7
312  Winchester                             7
313  Mattapan                               7
314  Marshfield                             7
315  Newton Centre                          7
316  North Andover                          7
317  Gardner                                7
318  North Attleborough                     8
319  Beverly                                8
320  Wakefield                              8
321  Norwood                                8
322  Marblehead                             8
323  Weymouth                               8
324  Acton                                  8
325  Wilmington                             8
326  Saugus                                 8
327  Natick                                 8
328  Melrose                                8
329  Gloucester                             8
330  Stoughton                              8
331  Needham                                8
332  Canton                                 8
333  Westwood                               8
334  Malden                                 8
335  Marlborough                            8
336  Medford                                9
337  Roslindale                             9
338  Wellesley                              9
339  Hyde Park                              9
340  Reading                                9
341  Greenfield                             9
342  Billerica                              9
343  Shrewsbury                             9
344  Brookline                              9
345  Jamaica Plain                          9
346  Fitchburg                             10
347  Waltham                               10
348  Everett                               10
349  Westborough                           10
350  West Springfield                      10
351  Arlington                             10
352  Braintree                             10
353  Chelsea                               10
354  Peabody                               10
355  Andover                               11
356  Attleboro                             11
357  Westfield                             11
358  Lexington                             11
359  Woburn                                11
360  Westford                              11
361  Somerville                            11
362  Revere                                11
363  Taunton                               12
364  Pittsfield                            12
365  Leominster                            12
366  East Boston                           12
367  Franklin                              13
368  Salem                                 13
369  Holyoke                               14
370  Plymouth                              15
371  Framingham                            16
372  Chicopee                              17
373  Boston                                17
374  Haverhill                             18
375  Roxbury                               19
376  Quincy                                19
377  Cambridge                             20
378  Fall River                            21
379  Brockton                              25
380  Lynn                                  27
381  Lowell                                28
382  New Bedford                           29
383  Lawrence                              30
384  Dorchester                            32
385  Worcester                             48
386  Springfield                           63
