0.4776848202364458,Percent of Students who are Economically Disadvantaged
0.13529388784891855,Percent of Students with High Needs
0.044612752192453003,Percent of Students who are Asian
0.01446741078717193,Number of Students Enrolled in Grade 12
0.012469577549695667,Percent of Students who are Hispanic
0.01186220162347808,School Code
0.011767917343561337,Percent of Students who are White
0.009124786365644429,Total Number of Students Enrolled
0.008631951143978762,Percent of Students with Disabilities
0.007716032123750005,Number of Students Enrolled in Grade 11
