0.3295874923921452,Percent of Students with High Needs
0.13835396711588724,Total Number of Students Enrolled
0.11445438241570255,Number of Students Enrolled in Grade 12
0.08285379585107852,Number of Students Enrolled in Grade 10
0.07702956088964412,Percent of Students who are Economically Disadvantaged
0.03596241399057336,Average Class Size
0.02460695419201935,Number of Students Enrolled in Grade 11
0.010426783029033127,Percent of Students with Disabilities
0.009222913969239879,Percent of Students who are White
0.007707298058689,Percent of students who are Male
