0.3609695837865607,Percent of Students with High Needs
0.23346161208453467,Percent of Students who are Economically Disadvantaged
0.09646705565177503,Percent of Students who are Asian
0.060925283450514955,Percent of Students who are Hispanic
0.035447004304199226,Percent of Students who are White
0.015096608071465595,Percent of students who are Male
0.01202397175339818,School Code
0.007140642698561629,Average Salary
0.00689728504892347,Percent of Population over 25 whose highest level of education is an Associate's Degree
0.006171463608370224,Percent of Students with Disabilities
