0.48932651253699777,Percent of students who are Male
0.09163976257917793,Percent of Students who are Economically Disadvantaged
0.06960671466323692,Average Class Size
0.06842164943972169,Percent of Students with High Needs
0.025982240093742885,Number of Students Enrolled in Grade 10
0.0235733545100536,Percent of Students with Disabilities
0.013146095687920953,Number of Students Enrolled in Grade 6
0.011880871341363394,Number of Students Enrolled in Grade 9
0.009867407858438787,School Code
0.008658364793247223,Percent of Students who are Asian
