0.55349569911328,Percent of Students who are Economically Disadvantaged
0.04762967509648257,Percent of Students with High Needs
0.03530295921419895,Percent of Females over 16 that are Married
0.02393915255920314,Percent of Students who are Hispanic
0.021559241049091033,Percent of Students with Disabilities
0.017692482265522926,Percent of Households that consist of a Male with no Wife Present and Children Aged Under 18
0.01545218616487199,Average Class Size
0.014909106327380689,Number of Students Enrolled in Grade 4
0.014395113663244549,Percent of Students who are African American
0.011073360241160688,Number of Students Enrolled in PK
